date,price,risk,source
2020-01-01,7200.85,0.3254,binance
2020-01-02,6965.71,0.3318,binance
2020-01-03,7344.96,0.3236,binance
2020-01-04,7354.11,0.3236,binance
2020-01-05,7358.75,0.3237,binance
2020-01-06,7758.0,0.3247,binance
2020-01-07,8145.28,0.3351,binance
2020-01-08,8055.98,0.3316,binance
2020-01-09,7817.76,0.3253,binance
2020-01-10,8197.02,0.3359,binance
2020-01-11,8020.01,0.3295,binance
2020-01-12,8184.98,0.3347,binance
2020-01-13,8110.34,0.3317,binance
2020-01-14,8810.01,0.364,binance
2020-01-15,8821.41,0.364,binance
2020-01-16,8720.01,0.3577,binance
2020-01-17,8913.28,0.368,binance
2020-01-18,8915.96,0.3675,binance
2020-01-19,8701.7,0.3549,binance
2020-01-20,8642.35,0.3513,binance
2020-01-21,8736.03,0.3555,binance
2020-01-22,8682.36,0.3522,binance
2020-01-23,8404.52,0.3386,binance
2020-01-24,8439.0,0.3396,binance
2020-01-25,8340.58,0.3353,binance
2020-01-26,8615.0,0.3466,binance
2020-01-27,8907.57,0.3612,binance
2020-01-28,9374.21,0.3877,binance
2020-01-29,9301.53,0.3826,binance
2020-01-30,9513.21,0.3945,binance
2020-01-31,9352.89,0.3842,binance
2020-02-01,9384.61,0.3854,binance
2020-02-02,9331.51,0.3816,binance
2020-02-03,9292.24,0.3785,binance
2020-02-04,9197.02,0.3723,binance
2020-02-05,9612.04,0.3961,binance
2020-02-06,9772.0,0.4047,binance
2020-02-07,9813.73,0.4064,binance
2020-02-08,9895.05,0.4104,binance
2020-02-09,10151.75,0.4241,binance
2020-02-10,9851.83,0.4065,binance
2020-02-11,10223.08,0.4266,binance
2020-02-12,10326.46,0.4314,binance
2020-02-13,10229.63,0.4256,binance
2020-02-14,10344.36,0.431,binance
2020-02-15,9904.72,0.4059,binance
2020-02-16,9917.27,0.4059,binance
2020-02-17,9706.0,0.3929,binance
2020-02-18,10164.71,0.4184,binance
2020-02-19,9593.79,0.3849,binance
2020-02-20,9596.42,0.3844,binance
2020-02-21,9677.05,0.3883,binance
2020-02-22,9650.86,0.3861,binance
2020-02-23,9936.4,0.4018,binance
2020-02-24,9656.13,0.385,binance
2020-02-25,9315.84,0.3651,binance
2020-02-26,8785.25,0.339,binance
2020-02-27,8823.21,0.34,binance
2020-02-28,8692.91,0.3347,binance
2020-02-29,8523.61,0.3291,binance
2020-03-01,8531.88,0.3291,binance
2020-03-02,8915.24,0.342,binance
2020-03-03,8760.07,0.3355,binance
2020-03-04,8750.87,0.3348,binance
2020-03-05,9054.68,0.3466,binance
2020-03-06,9131.88,0.3497,binance
2020-03-07,8886.66,0.3385,binance
2020-03-08,8033.31,0.3232,binance
2020-03-09,7929.87,0.3243,binance
2020-03-10,7894.56,0.325,binance
2020-03-11,7934.52,0.3245,binance
2020-03-12,4800.0,0,binance
2020-03-13,5578.6,0,binance
2020-03-14,5172.06,0,binance
2020-03-15,5361.3,0,binance
2020-03-16,5028.97,0,binance
2020-03-17,5312.64,0,binance
2020-03-18,5393.04,0,binance
2020-03-19,6162.37,0.2099,binance
2020-03-20,6208.36,0.2268,binance
2020-03-21,6186.98,0.214,binance
2020-03-22,5816.19,0,binance
2020-03-23,6467.31,0.3001,binance
2020-03-24,6744.72,0.3382,binance
2020-03-25,6677.43,0.331,binance
2020-03-26,6737.36,0.3362,binance
2020-03-27,6359.11,0.2622,binance
2020-03-28,6236.65,0.2117,binance
2020-03-29,5881.42,0,binance
2020-03-30,6394.38,0.2658,binance
2020-03-31,6410.44,0.2683,binance
2020-04-01,6642.92,0.3188,binance
2020-04-02,6794.09,0.3359,binance
2020-04-03,6734.1,0.3289,binance
2020-04-04,6856.99,0.3395,binance
2020-04-05,6772.78,0.3313,binance
2020-04-06,7329.9,0.347,binance
2020-04-07,7197.32,0.3486,binance
2020-04-08,7361.28,0.3468,binance
2020-04-09,7283.54,0.3482,binance
2020-04-10,6858.92,0.3355,binance
2020-04-11,6876.83,0.3364,binance
2020-04-12,6903.79,0.3379,binance
2020-04-13,6837.91,0.3309,binance
2020-04-14,6868.7,0.3332,binance
2020-04-15,6621.24,0.292,binance
2020-04-16,7101.94,0.3464,binance
2020-04-17,7027.55,0.3431,binance
2020-04-18,7248.6,0.3486,binance
2020-04-19,7120.74,0.3462,binance
2020-04-20,6826.83,0.3222,binance
2020-04-21,6841.37,0.323,binance
2020-04-22,7125.14,0.3455,binance
2020-04-23,7482.39,0.3472,binance
2020-04-24,7505.0,0.3469,binance
2020-04-25,7538.67,0.3464,binance
2020-04-26,7693.1,0.3427,binance
2020-04-27,7774.62,0.3406,binance
2020-04-28,7738.98,0.3419,binance
2020-04-29,8778.57,0.323,binance
2020-04-30,8620.0,0.323,binance
2020-05-01,8826.96,0.3231,binance
2020-05-02,8972.05,0.3243,binance
2020-05-03,8894.16,0.3234,binance
2020-05-04,8871.96,0.3232,binance
2020-05-05,9021.83,0.3246,binance
2020-05-06,9142.92,0.3263,binance
2020-05-07,9986.4,0.3548,binance
2020-05-08,9800.01,0.3461,binance
2020-05-09,9539.4,0.3358,binance
2020-05-10,8722.77,0.323,binance
2020-05-11,8561.52,0.3245,binance
2020-05-12,8810.79,0.3228,binance
2020-05-13,9309.37,0.3281,binance
2020-05-14,9791.98,0.3428,binance
2020-05-15,9316.42,0.3277,binance
2020-05-16,9381.27,0.3289,binance
2020-05-17,9680.04,0.3373,binance
2020-05-18,9733.93,0.3388,binance
2020-05-19,9775.53,0.3399,binance
2020-05-20,9511.43,0.331,binance
2020-05-21,9068.65,0.3232,binance
2020-05-22,9170.0,0.324,binance
2020-05-23,9179.15,0.324,binance
2020-05-24,8720.34,0.3243,binance
2020-05-25,8900.35,0.323,binance
2020-05-26,8841.18,0.3233,binance
2020-05-27,9204.07,0.3238,binance
2020-05-28,9575.89,0.3302,binance
2020-05-29,9427.07,0.3266,binance
2020-05-30,9697.72,0.3329,binance
2020-05-31,9448.27,0.3266,binance
2020-06-01,10200.77,0.3504,binance
2020-06-02,9518.04,0.3275,binance
2020-06-03,9666.24,0.3307,binance
2020-06-04,9789.06,0.3338,binance
2020-06-05,9621.16,0.329,binance
2020-06-06,9666.3,0.3298,binance
2020-06-07,9746.99,0.3316,binance
2020-06-08,9782.01,0.3322,binance
2020-06-09,9772.43,0.3316,binance
