date,price,risk,smoothedRisk,valuation,momentum,volatility,cycle,macro,attention,cyclePhase,isHalving
2018-03-05,11454,0.7524,0.7524,0.5532,0.5077,0.4351,0.5374,0.5093,0.6474,mid,0
2018-03-06,10716.48,0.7129,0.7405,0.5329,0.4456,0.4128,0.5375,0.3994,0.6197,mid,0
2018-03-07,9910,0.6867,0.7244,0.5111,0.4785,0.3741,0.5377,0.3118,0.6051,mid,0
2018-03-08,9271.64,0.6591,0.7048,0.4938,0.4223,0.3901,0.5378,0.2951,0.5621,mid,0
2018-03-09,9227,0.6533,0.6893,0.4919,0.3961,0.3836,0.5379,0.3172,0.5608,mid,0
2018-03-10,8770.22,0.6347,0.6729,0.4794,0.3305,0.4163,0.5380,0.2856,0.5396,mid,0
2018-03-11,9533.57,0.6578,0.6684,0.4983,0.4361,0.4057,0.5382,0.2965,0.5224,mid,0
2018-03-12,9131.34,0.6317,0.6574,0.4872,0.3502,0.4083,0.5383,0.2785,0.5102,mid,0
2018-03-13,9150,0.6332,0.6501,0.4870,0.3509,0.3989,0.5384,0.2895,0.5211,mid,0
2018-03-14,8170,0.5853,0.6307,0.4613,0.2376,0.4370,0.5385,0.2325,0.4607,mid,0
2018-03-15,8240.98,0.5677,0.6118,0.4625,0.2293,0.4316,0.5387,0.2392,0.4067,mid,0
2018-03-16,8260,0.5712,0.5996,0.4624,0.2135,0.4131,0.5388,0.2529,0.4429,mid,0
2018-03-17,7824.8,0.5724,0.5915,0.4508,0.1792,0.4380,0.5389,0.2388,0.4729,mid,0
2018-03-18,8189.99,0.5877,0.5903,0.4596,0.1908,0.4454,0.5390,0.2479,0.4894,mid,0
2018-03-19,8600,0.5923,0.5909,0.4694,0.2197,0.4384,0.5391,0.2633,0.4678,mid,0
2018-03-20,8909.98,0.5943,0.5919,0.4766,0.2770,0.4267,0.5393,0.2926,0.4237,mid,0
2018-03-21,8885,0.6149,0.5988,0.4754,0.3270,0.4013,0.5394,0.3150,0.4826,mid,0
2018-03-22,8722.9,0.6172,0.6043,0.4706,0.3519,0.4022,0.5395,0.3520,0.4702,mid,0
2018-03-23,8898.03,0.6189,0.6087,0.4744,0.3853,0.3906,0.5396,0.3685,0.4521,mid,0
2018-03-24,8546.86,0.6015,0.6065,0.4649,0.3919,0.3624,0.5398,0.3429,0.4423,mid,0
2018-03-25,8470.15,0.5689,0.5953,0.4624,0.2952,0.3411,0.5399,0.3339,0.4241,mid,0
2018-03-26,8134.23,0.5585,0.5842,0.4534,0.2760,0.3564,0.5400,0.2728,0.4245,mid,0
2018-03-27,7795.51,0.5512,0.5743,0.4444,0.2326,0.3436,0.5401,0.2551,0.4653,mid,0
2018-03-28,7949.3,0.5742,0.5743,0.4477,0.3278,0.3272,0.5403,0.2951,0.4759,mid,0
2018-03-29,7090.14,0.5514,0.5674,0.4257,0.2115,0.4241,0.5404,0.2333,0.4438,mid,0
2018-03-30,6840.23,0.5438,0.5603,0.4190,0.1867,0.4300,0.5405,0.2504,0.4362,mid,0
2018-03-31,6923.91,0.5339,0.5524,0.4206,0.1908,0.3968,0.5406,0.2345,0.4352,mid,0
2018-04-01,6813.01,0.5139,0.5409,0.4174,0.1351,0.3779,0.5408,0.2358,0.4304,mid,0
2018-04-02,7056,0.5187,0.5342,0.4229,0.1342,0.3760,0.5409,0.2390,0.4365,mid,0
2018-04-03,7405.21,0.5453,0.5375,0.4311,0.1577,0.4188,0.5410,0.2450,0.4486,mid,0
2018-04-04,6796.1,0.5268,0.5343,0.4155,0.1179,0.4439,0.5411,0.2184,0.4278,mid,0
2018-04-05,6770.76,0.5213,0.5304,0.4144,0.1382,0.4104,0.5412,0.2211,0.4307,mid,0
2018-04-06,6601.39,0.5088,0.5239,0.4098,0.1331,0.3812,0.5414,0.2247,0.4293,mid,0
2018-04-07,6895.8,0.5159,0.5215,0.4166,0.1695,0.3884,0.5415,0.2318,0.4053,mid,0
2018-04-08,7018,0.5254,0.5227,0.4192,0.1945,0.3872,0.5416,0.2354,0.4150,mid,0
2018-04-09,6782.72,0.5135,0.5199,0.4129,0.1880,0.3740,0.5417,0.2275,0.4077,mid,0
2018-04-10,6843.9,0.5157,0.5187,0.4139,0.2039,0.3310,0.5419,0.2442,0.4397,mid,0
2018-04-11,6953.79,0.5026,0.5138,0.4162,0.2254,0.2939,0.5420,0.2619,0.4082,mid,0
2018-04-12,7923,0.6028,0.5405,0.4395,0.4100,0.3941,0.5421,0.2881,0.4681,mid,0
2018-04-13,7877.41,0.5817,0.5529,0.4379,0.4361,0.3386,0.5422,0.2930,0.4352,mid,0
2018-04-14,7999.01,0.5798,0.5610,0.4403,0.4358,0.3374,0.5424,0.3155,0.4174,mid,0
2018-04-15,8355,0.6031,0.5736,0.4484,0.4631,0.3544,0.5425,0.3411,0.4376,mid,0
2018-04-16,8064.92,0.5975,0.5808,0.4408,0.4508,0.3374,0.5426,0.3919,0.4412,mid,0
