date,price,risk,source
2016-07-01,650.0,0.38,interpolated
2016-07-02,649.03,0.3805,interpolated
2016-07-03,648.09,0.381,interpolated
2016-07-04,647.16,0.3815,interpolated
2016-07-05,646.25,0.382,interpolated
2016-07-06,645.37,0.3825,interpolated
2016-07-07,644.5,0.383,interpolated
2016-07-08,643.66,0.3835,interpolated
2016-07-09,642.83,0.3839,interpolated
2016-07-10,642.03,0.3844,interpolated
2016-07-11,641.24,0.3849,interpolated
2016-07-12,640.47,0.3854,interpolated
2016-07-13,639.73,0.3859,interpolated
2016-07-14,638.99,0.3864,interpolated
2016-07-15,638.28,0.3869,interpolated
2016-07-16,637.59,0.3873,interpolated
2016-07-17,636.91,0.3878,interpolated
2016-07-18,636.25,0.3883,interpolated
2016-07-19,635.61,0.3888,interpolated
2016-07-20,634.99,0.3892,interpolated
2016-07-21,634.38,0.3897,interpolated
2016-07-22,633.79,0.3902,interpolated
2016-07-23,633.21,0.3906,interpolated
2016-07-24,632.66,0.3911,interpolated
2016-07-25,632.11,0.3916,interpolated
2016-07-26,631.59,0.392,interpolated
2016-07-27,631.08,0.3925,interpolated
2016-07-28,630.58,0.393,interpolated
2016-07-29,630.1,0.3934,interpolated
2016-07-30,629.63,0.3939,interpolated
2016-07-31,629.18,0.3943,interpolated
2016-08-01,628.74,0.3948,interpolated
2016-08-02,628.32,0.3953,interpolated
2016-08-03,627.91,0.3957,interpolated
2016-08-04,627.52,0.3962,interpolated
2016-08-05,627.13,0.3966,interpolated
2016-08-06,626.77,0.3971,interpolated
2016-08-07,626.41,0.3975,interpolated
2016-08-08,626.07,0.398,interpolated
2016-08-09,625.74,0.3984,interpolated
2016-08-10,625.42,0.3988,interpolated
2016-08-11,625.11,0.3993,interpolated
2016-08-12,624.82,0.3997,interpolated
2016-08-13,624.53,0.4002,interpolated
2016-08-14,624.26,0.4006,interpolated
2016-08-15,624.0,0.401,interpolated
2016-08-16,623.75,0.4015,interpolated
2016-08-17,623.51,0.4019,interpolated
2016-08-18,623.28,0.4023,interpolated
2016-08-19,623.06,0.4028,interpolated
2016-08-20,622.85,0.4032,interpolated
2016-08-21,622.66,0.4036,interpolated
2016-08-22,622.47,0.4041,interpolated
2016-08-23,622.29,0.4045,interpolated
2016-08-24,622.11,0.4049,interpolated
2016-08-25,621.95,0.4053,interpolated
2016-08-26,621.8,0.4058,interpolated
2016-08-27,621.65,0.4062,interpolated
2016-08-28,621.51,0.4066,interpolated
2016-08-29,621.38,0.407,interpolated
2016-08-30,621.26,0.4074,interpolated
2016-08-31,621.15,0.4078,interpolated
2016-09-01,621.04,0.4083,interpolated
2016-09-02,620.94,0.4087,interpolated
2016-09-03,620.85,0.4091,interpolated
2016-09-04,620.76,0.4095,interpolated
2016-09-05,620.68,0.4099,interpolated
2016-09-06,620.6,0.4103,interpolated
2016-09-07,620.53,0.4107,interpolated
2016-09-08,620.47,0.4111,interpolated
2016-09-09,620.41,0.4115,interpolated
2016-09-10,620.36,0.4119,interpolated
2016-09-11,620.31,0.4123,interpolated
2016-09-12,620.26,0.4127,interpolated
2016-09-13,620.22,0.4131,interpolated
2016-09-14,620.19,0.4135,interpolated
2016-09-15,620.16,0.4139,interpolated
2016-09-16,620.13,0.4143,interpolated
2016-09-17,620.11,0.4147,interpolated
2016-09-18,620.08,0.4151,interpolated
2016-09-19,620.07,0.4155,interpolated
2016-09-20,620.05,0.4158,interpolated
2016-09-21,620.04,0.4162,interpolated
2016-09-22,620.03,0.4166,interpolated
2016-09-23,620.02,0.417,interpolated
2016-09-24,620.01,0.4174,interpolated
2016-09-25,620.01,0.4178,interpolated
2016-09-26,620.0,0.4181,interpolated
2016-09-27,620.0,0.4185,interpolated
2016-09-28,620.0,0.4189,interpolated
2016-09-29,620.0,0.4193,interpolated
2016-09-30,620.0,0.4196,interpolated
2016-10-01,620.0,0.42,interpolated
2016-10-02,620.06,0.4204,interpolated
2016-10-03,620.24,0.4208,interpolated
2016-10-04,620.54,0.4211,interpolated
2016-10-05,620.95,0.4215,interpolated
2016-10-06,621.47,0.4219,interpolated
2016-10-07,622.11,0.4223,interpolated
2016-10-08,622.86,0.4228,interpolated
2016-10-09,623.71,0.4232,interpolated
2016-10-10,624.67,0.4236,interpolated
2016-10-11,625.73,0.424,interpolated
2016-10-12,626.89,0.4245,interpolated
2016-10-13,628.15,0.4249,interpolated
2016-10-14,629.51,0.4253,interpolated
2016-10-15,630.96,0.4258,interpolated
2016-10-16,632.51,0.4262,interpolated
2016-10-17,634.15,0.4266,interpolated
2016-10-18,635.88,0.4271,interpolated
2016-10-19,637.69,0.4275,interpolated
2016-10-20,639.59,0.4279,interpolated
2016-10-21,641.58,0.4284,interpolated
2016-10-22,643.64,0.4288,interpolated
2016-10-23,645.79,0.4293,interpolated
2016-10-24,648.01,0.4297,interpolated
2016-10-25,650.31,0.4301,interpolated
2016-10-26,652.68,0.4305,interpolated
2016-10-27,655.12,0.431,interpolated
2016-10-28,657.63,0.4314,interpolated
2016-10-29,660.21,0.4318,interpolated
2016-10-30,662.85,0.4322,interpolated
2016-10-31,665.56,0.4326,interpolated
2016-11-01,668.33,0.433,interpolated
2016-11-02,671.15,0.4334,interpolated
2016-11-03,674.04,0.4338,interpolated
2016-11-04,676.98,0.4342,interpolated
2016-11-05,679.97,0.4346,interpolated
2016-11-06,683.02,0.4349,interpolated
2016-11-07,686.11,0.4353,interpolated
2016-11-08,689.25,0.4356,interpolated
2016-11-09,692.44,0.436,interpolated
2016-11-10,695.67,0.4363,interpolated
2016-11-11,698.94,0.4366,interpolated
2016-11-12,702.25,0.4369,interpolated
2016-11-13,705.6,0.4372,interpolated
2016-11-14,708.99,0.4375,interpolated
2016-11-15,712.4,0.4377,interpolated
2016-11-16,715.85,0.438,interpolated
2016-11-17,719.33,0.4382,interpolated
2016-11-18,722.84,0.4385,interpolated
2016-11-19,726.37,0.4387,interpolated
2016-11-20,729.92,0.4389,interpolated
2016-11-21,733.5,0.4391,interpolated
2016-11-22,737.09,0.4392,interpolated
2016-11-23,740.71,0.4394,interpolated
2016-11-24,744.34,0.4395,interpolated
2016-11-25,747.98,0.4397,interpolated
2016-11-26,751.63,0.4398,interpolated
2016-11-27,755.29,0.4398,interpolated
2016-11-28,758.96,0.4399,interpolated
2016-11-29,762.64,0.44,interpolated
